"","PID.FU","Percent.Distract","dprime_Distract","dprime_Reapp","Accuracy","ERQ_Reapp.FU","Gender","Age","ERQ_Supp.FU","DERS.FU","DERS.Nonaccept.FU","DERS.DiffGoal.FU","DERS.Impulse.FU","DERS.LimitAccess.FU","DERS.LackClarity.FU","IUS.FU","IUS_F1.FU","IUS_F2.FU","ERQ_Reapp.Diff.abs.avg","ERQ_Supp.Diff.abs.avg","ERQ_Reapp.Diff.abs.z.avg","ERQ_Supp.Diff.abs.z.avg"
"P030","P030",0.461538461538462,0.517674009412846,-1.004351559883,0.423076923076923,29,"Female","57",9,64,7,13,10,12,8,20,13,7,4.51204819277108,4.03012048192771,-0.275608244991265,-0.498002896955012
"P031","P031",0.564102564102564,0.707431964870631,-0.836348451970987,0.5,33,"Male","30",13,111,24,20,21,24,8,44,27,17,4.2710843373494,3.68072289156627,-0.328230344273606,-0.579663367521848
"P032","P032",0.525641025641026,0.782341490440315,-0.739191322179004,0.512820512820513,28,"Female","60",12,78,10,17,16,13,8,33,23,10,4.84939759036145,3.53614457831325,-0.201937305995986,-0.613453907066746
"P033","P033",0.5,0.367021549915531,-1.23204872984892,0.384615384615385,23,"Female","38",10,84,12,14,11,20,11,34,23,11,7.62048192771084,3.80120481927711,0.403216835750943,-0.551504584567767
"P034","P034",0.179487179487179,0.929035764153686,-0.88882999478929,0.397435897435897,36,"Male","56",21,64,10,10,8,12,12,34,24,10,6.15060240963855,8.76506024096386,0.0822220301286588,0.60863727314039
"P035","P035",0.397435897435897,0.839933456703906,-0.723293043195302,0.487179487179487,26,"Male","21",18,68,8,15,10,12,10,32,21,11,5.69277108433735,6.24698795180723,-0.0177599585077904,0.0201187094000872
"P036","P036",0.743589743589744,1.07870022835347,-0.37491411397556,0.653846153846154,42,"Female","28",6,50,6,10,6,14,7,22,14,8,11.7771084337349,6.30722891566265,1.31094804837134,0.034198100877128
"P037","P037",0.807692307692308,0.711699719885613,-Inf,0.538461538461538,36,"Female","40",22,79,12,11,14,18,11,43,27,16,6.15060240963855,9.74096385542169,0.0822220301286588,0.83672341506845
"P038","P038",0.474358974358974,0.739191322179004,-0.782341490440315,0.487179487179487,28,"Female","20",20,86,18,9,7,18,22,23,15,8,4.84939759036145,7.83734939759036,-0.201937305995986,0.391814644393963
"P039","P039",0.333333333333333,0.206298949272623,-1.23147523328313,0.320512820512821,36,"Female","18",12,104,13,15,21,27,17,26,17,9,6.15060240963855,3.53614457831325,0.0822220301286588,-0.613453907066746
"P040","P040",0.512820512820513,1.14830753765333,-0.414918962245873,0.602564102564103,34,"Male","21",18,109,12,19,21,21,16,46,23,23,4.60843373493976,6.24698795180723,-0.254559405278328,0.0201187094000872
"P041","P041",0.128205128205128,0.682036245673443,-1.02190516871289,0.346153846153846,32,"Male","18",16,107,19,19,10,21,19,38,25,13,4.05421686746988,5.03012048192771,-0.375590233627714,-0.264284998436136
"P042","P042",0.423076923076923,1.03035157645836,-0.576042541167693,0.538461538461538,29,"Female","43",10,92,15,11,14,22,13,34,19,15,4.51204819277108,3.80120481927711,-0.275608244991265,-0.551504584567767
"P043","P043",0.384615384615385,1.0549527850553,-0.596557042687939,0.525641025641026,33,"Female","45",17,115,21,21,19,37,9,50,31,19,4.2710843373494,5.62048192771084,-0.328230344273606,-0.126306961961136
"P044","P044",0.615384615384615,0.67539563086496,-0.923674648899492,0.5,32,"Female","51",11,90,10,19,14,17,12,39,25,14,4.05421686746988,3.63253012048193,-0.375590233627714,-0.590926880703481
"P045","P045",0.474358974358974,0.465019342728346,-1.07304760884252,0.41025641025641,30,"Female","25",14,83,13,15,9,17,13,29,20,9,4.24698795180723,4.07831325301205,-0.333492554201841,-0.48673938377338
"P046","P046",0.282051282051282,0.742078362752943,-0.855584280551156,0.423076923076923,32,"Female","21",20,84,8,19,9,15,12,25,16,9,4.05421686746988,7.83734939759036,-0.375590233627714,0.391814644393963
"P047","P047",0.525641025641026,0.692972916438673,-0.837178064595605,0.487179487179487,34,"Female","20",20,84,11,11,15,18,10,41,28,13,4.60843373493976,7.83734939759036,-0.254559405278328,0.391814644393963
"P048","P048",0.525641025641026,1.07304760884252,-0.465019342728346,0.58974358974359,33,"Female","24",21,66,13,14,6,9,9,15,10,5,4.2710843373494,8.76506024096386,-0.328230344273606,0.60863727314039
"P049","P049",0.294871794871795,0.937746113480984,-0.746997890345653,0.461538461538462,33,"Female","69",18,49,6,13,6,9,5,20,14,6,4.2710843373494,6.24698795180723,-0.328230344273606,0.0201187094000872
"P050","P050",0.384615384615385,0.923674648899492,-0.67539563086496,0.5,40,"Male","18",17,52,6,14,6,12,6,24,14,10,9.82530120481928,5.62048192771084,0.88470904418437,-0.126306961961136
"P051","P051",0.653846153846154,1.10786451588885,-0.3557769343205,0.641025641025641,36,"Male","33",25,95,15,19,17,19,10,38,25,13,6.15060240963855,12.7168674698795,0.0822220301286588,1.53224535403426
"P052","P052",0.512820512820513,1.04019030673057,-0.501156304731066,0.576923076923077,37,"Female","68",14,63,11,18,8,12,5,32,21,11,6.93373493975904,4.07831325301205,0.253243852796269,-0.48673938377338
"P053","P053",0.512820512820513,1.04019030673057,-0.501156304731066,0.576923076923077,31,"Female","26",18,90,14,13,14,18,16,34,23,11,3.98192771084337,6.24698795180723,-0.391376863412416,0.0201187094000872
"P054","P054",0.512820512820513,0.658874595074882,-0.871276385959396,0.474358974358974,27,"Female","55",4,99,13,21,20,23,9,29,20,9,5.19879518072289,8.28313253012048,-0.125635262036591,0.496002141324064
"P055","P055",0.115384615384615,0.606776316862627,-1.05600349007668,0.333333333333333,36,"Male","25",27,99,14,14,14,20,15,27,17,10,6.15060240963855,14.7168674698795,0.0822220301286588,1.99968115107202
"P056","P056",0.487179487179487,0.871276385959396,-0.658874595074882,0.525641025641026,33,"Female","70",8,60,7,11,8,13,6,20,15,5,4.2710843373494,4.52409638554217,-0.328230344273606,-0.382551886843278
"P057","P057",0.474358974358974,0.739191322179004,-0.782341490440315,0.487179487179487,29,"Female","35",16,95,13,15,13,20,13,35,24,11,4.51204819277108,5.03012048192771,-0.275608244991265,-0.264284998436136
