"","PID.FU","Percent.Distract","dprime_Distract","dprime_Reapp","Accuracy","ERQ_Reapp.FU","Gender","Age","ERQ_Supp.FU","DERS.FU","DERS.Nonaccept.FU","DERS.DiffGoal.FU","DERS.Impulse.FU","DERS.LimitAccess.FU","DERS.LackClarity.FU","IUS.FU","IUS_F1.FU","IUS_F2.FU","ERQ_Reapp.Diff.abs.avg","ERQ_Supp.Diff.abs.avg","ERQ_Reapp.Diff.abs.z.avg","ERQ_Supp.Diff.abs.z.avg"
"P124","P124",0.487179487179487,0.679997426747021,-0.841535385872298,0.474358974358974,34,"Male","20",15,71,18,10,6,12,10,27,21,6,4.60843373493976,4.54819277108434,-0.254559405278328,-0.376920130252462
"P125","P125",0.384615384615385,0.583238597710951,-0.923517617496563,0.423076923076923,36,"Female","32",22,82,15,13,12,19,9,41,25,16,6.15060240963855,9.74096385542169,0.0822220301286588,0.83672341506845
"P126","P126",0.294871794871795,0.784902129049804,-0.823442487223818,0.435897435897436,24,"Female","42",18,52,6,8,6,9,9,25,17,8,6.90963855421687,6.24698795180723,0.247981642868035,0.0201187094000872
"P127","P127",0.628205128205128,0.955759397662327,-0.543927501574921,0.58974358974359,30,"Female","38",19,96,12,24,12,23,9,32,20,12,4.24698795180723,6.92168674698795,-0.333492554201841,0.177807893942944
"P128","P128",0.461538461538462,0.517674009412846,-1.004351559883,0.423076923076923,39,"Female","54",22,75,16,10,11,13,10,28,18,10,8.84939759036145,9.74096385542169,0.671589542090886,0.83672341506845
"P129","P129",0.474358974358974,0.644995423266051,-0.874927016762421,0.461538461538462,14,"Female","31",16,125,13,20,24,26,18,40,23,17,16.2228915662651,5.03012048192771,2.28182578013054,-0.264284998436136
"P130","P130",0.435897435897436,0.53651508323641,-0.973537575259252,0.423076923076923,22,"Female","32",18,83,14,16,10,18,6,42,26,16,8.33132530120482,6.24698795180723,0.558452028633851,0.0201187094000872
"P131","P131",0.538461538461538,0.640318249754173,-0.905874113555125,0.474358974358974,32,"Female","31",15,103,21,19,13,23,15,43,26,17,4.05421686746988,4.54819277108434,-0.375590233627714,-0.376920130252462
"P132","P132",0.294871794871795,0.784902129049804,-0.823442487223818,0.435897435897436,28,"Female","19",17,106,16,17,16,22,18,29,16,13,4.84939759036145,5.62048192771084,-0.201937305995986,-0.126306961961136
"P133","P133",0.41025641025641,0.659172062981825,-0.858697190051963,0.448717948717949,36,"Female","57",15,65,12,8,8,10,9,32,23,9,6.15060240963855,4.54819277108434,0.0822220301286588,-0.376920130252462
"P134","P134",0.58974358974359,0.530061255102625,-1.12549275061145,0.448717948717949,26,"Non-binary / third gender","29",27,90,22,16,6,19,12,43,27,16,5.69277108433735,14.7168674698795,-0.0177599585077904,1.99968115107202
"P135","P135",0.461538461538462,1.13269564015165,-0.473698477474399,0.576923076923077,34,"Female","29",14,89,17,16,9,17,12,38,23,15,4.60843373493976,4.07831325301205,-0.254559405278328,-0.48673938377338
"P136","P136",0.5,0.71452108485019,-0.807813301645962,0.487179487179487,37,"Female","21",10,74,12,15,8,17,10,26,16,10,6.93373493975904,3.80120481927711,0.253243852796269,-0.551504584567767
"P137","P137",0.461538461538462,0.802654406492437,-0.726695000665008,0.5,22,"Female","42",16,91,17,13,13,19,13,33,22,11,8.33132530120482,5.03012048192771,0.558452028633851,-0.264284998436136
"P138","P138",0.67948717948718,0.917321185619228,-0.606019762701132,0.58974358974359,36,"Female","71",12,54,8,10,9,10,6,25,19,6,6.15060240963855,3.53614457831325,0.0822220301286588,-0.613453907066746
"P139","P139",0.602564102564103,0.563452885992748,-1.09049074713048,0.461538461538462,42,"Male","31",4,36,6,5,6,8,5,12,7,5,11.7771084337349,8.28313253012048,1.31094804837134,0.496002141324064
"P140","P140",0.5,0.807813301645962,-0.71452108485019,0.512820512820513,32,"Female","40",16,56,10,11,6,11,8,26,18,8,4.05421686746988,5.03012048192771,-0.375590233627714,-0.264284998436136
"P141","P141",0.461538461538462,1.26122844519486,-0.392715187928361,0.602564102564103,42,"Male","43",19,55,9,10,7,10,9,29,19,10,11.7771084337349,6.92168674698795,1.31094804837134,0.177807893942944
"P142","P142",0.256410256410256,1.21279607956376,-0.694801852365364,0.474358974358974,30,"Male","33",23,63,11,15,8,15,5,46,28,18,4.24698795180723,10.7168674698795,-0.333492554201841,1.06480955699651
"P143","P143",0.333333333333333,0.771624671540843,-0.805106938165012,0.448717948717949,33,"Male","44",23,112,17,20,15,27,12,34,20,14,4.2710843373494,10.7168674698795,-0.328230344273606,1.06480955699651
"P144","P144",0.58974358974359,0.946821611412467,-0.558158053485693,0.576923076923077,32,"Female","20",18,70,9,11,12,18,5,40,25,15,4.05421686746988,6.24698795180723,-0.375590233627714,0.0201187094000872
"P145","P145",0.512820512820513,0.841535385872298,-0.679997426747021,0.525641025641026,33,"Male","50",22,65,7,11,6,11,12,31,24,7,4.2710843373494,9.74096385542169,-0.328230344273606,0.83672341506845
"P146","P146",0.371794871794872,0.543927501574921,-0.955759397662327,0.41025641025641,32,"Male","37",22,58,9,8,6,14,8,24,18,6,4.05421686746988,9.74096385542169,-0.375590233627714,0.83672341506845
"P147","P147",0.474358974358974,0.739191322179004,-0.782341490440315,0.487179487179487,31,"Female","30",21,76,14,11,15,17,7,35,24,11,3.98192771084337,8.76506024096386,-0.391376863412416,0.60863727314039
"P148","P148",0.641025641025641,0.740522662139844,-0.849318307765049,0.525641025641026,31,"Female","30",14,78,16,16,7,25,6,53,33,20,3.98192771084337,4.07831325301205,-0.391376863412416,-0.48673938377338
"P149","P149",0.512820512820513,0.841535385872298,-0.679997426747021,0.525641025641026,35,"Female","31",15,76,13,8,9,18,12,50,30,20,5.36746987951807,4.54819277108434,-0.0887997925389517,-0.376920130252462
"P150","P150",0.141025641025641,1.09668921726743,-0.914441801963074,0.384615384615385,30,"Female","57",15,60,6,10,6,13,11,31,21,10,4.24698795180723,4.54819277108434,-0.333492554201841,-0.376920130252462
"P151","P151",0.474358974358974,0.644995423266051,-0.874927016762421,0.461538461538462,37,"Male","34",17,73,12,10,7,11,12,32,24,8,6.93373493975904,5.62048192771084,0.253243852796269,-0.126306961961136
"P152","P152",0.538461538461538,0.726695000665008,-0.802654406492437,0.5,25,"Female","35",8,82,7,16,7,22,11,34,20,14,6.28313253012048,4.52409638554217,0.111164184733947,-0.382551886843278
